years,datetime,city,state,shape,duration (seconds),comments,latitude,longitude 
1998,03 November 1998,quincy,ca,circle,150,It was an object&#44 blood red&#44 about magnitude 1&#44 travelling NW to SE. No sound. 4 contrails.,39.9369444,-120.9461111
1998,03 November 1998,northport,ny,light,2,no crafts were seen&#44 only a brilliant silver-blue light that moved north to south ....,40.9008333,-73.3436111
1998,03 November 1998,colorado springs,co,other,15,Seven narrow cylinders with tapered ends&#44 flew in silent formation&#44 from the south&#44due north. They appeared to have no single light. Th,38.8338889,-104.8208333
1998,04 November 1998,spring valley,ca,fireball,3600,Red orb lights above Spring Valley CA.,32.7447222,-116.9980556
1998,04 November 1998,woodland hills,ca,light,1200,Woodland Hills&#44 Los Angeles Shinning craft at midday.,34.1683333,-118.605
1998,04 November 1998,corralitos,ca,other,6,An airbourne craft.An irregular triangle with rounded edges. Had an orange glow around it.Had 3 white lights along the bottom that illu,36.9886111,-121.8052778
1998,05 November 1998,south holland,il,disk,30,4 disk shaped objects traveling in a NNE direction.Emiting no sound and appearing to change course to ENE after reaching Lake Michigan.,41.6008333,-87.6069444
1998,06 November 1998,patterson,ca,disk,300,Just before Dusk I saw&#44 50 feet from my car a Flying Disk that had two Rings Rotating around its main body. It was trully awesome&#33,37.4716667,-121.1286111
1998,06 November 1998,tampa,fl,light,30,I saw a craft that probably was not from earth.,27.9472222,-82.4586111
1998,06 November 1998,kansas city,mo,light,300,Single white light&#44 no flashing green&#44 red or white light.  Traveling from WNW to ESE.  Followed about two minutes later by similar lig,39.0997222,-94.5783333
1998,07 November 1998,franklin park (60131),il,circle,1,Yellow circle in northeast sky moving northward,41.9352778,-87.8655556
1998,07 November 1998,medina county,oh,light,2700,was driving in car going into medina. ilooked in sky and seen light thought it was the moon. then i look at the other side of the sky a,41.1383333,-81.8638889
1998,07 November 1998,chicago,il,light,60,Series of star-like points&#44 approximate visual magnitude +3&#44 shifting positions among each other&#44 but as a group moving uniformly in a,41.85,-87.65
1998,07 November 1998,lincoln,ma,sphere,300,Sole witness to object.  At Hanscom Field/Hanscom Air Force Base watching aircraft.  I am a self taught expert on all types of aircraft,42.4258333,-71.3044444
1998,08 November 1998,mandan,nd,disk,1800,I viewed an object that looked like a star initially but when viewed standing still it moved slightly. It looked like lights were flash,46.8266667,-100.8891667
1998,09 November 1998,roswell,nm,diamond,5,My sister and I were  driving south to Carlsbad and were about 5 to 10 miles outside of  Roswell&#44 NM.  All of a sudden a bright&#44 pulsat,33.3941667,-104.5225
1998,10 November 1998,vega baja (puerto rico),pr,cigar,120,I went out and saw this cigar shaped object&#44 high above&#44 about where the sun would be at 12 o&#39clock. I stared at it trying to identify,18.4463889,-66.3880556
1998,10 November 1998,elk grove,ca,fireball,4,Greenish blue fireball streaking across horizon,38.4088889,-121.3705556
1998,10 November 1998,mount carmel,tn,light,10,Bright shiny object splits in two and disappears above horizon.,36.5452778,-82.6611111
1998,10 November 1998,montara,ca,other,3600,Boomerang shaped lit up at the neds and center of the boomerang.,37.5422222,-122.515
1998,10 November 1998,highland,in,sphere,14400,Spherical.  Red&#44 yellow&#44 and green lights.  Below clouds&#44 yet very high up.,39.7944444,-87.3958333
1998,10 November 1998,bar harbor (bar island crossover),me,sphere,30,My friend Steven and I were crossing over to Bar Island at low tide when we witnesses a green spherical object crossing the sky at a gr,44.3875,-68.2044444
1998,11 November 1998,bowling green,ky,circle,15,I work for the airport here. A man (who sounded legit)called to report a u shape formation of 4 craft flying low &amp; silently&#44 tan in col,36.9902778,-86.4436111
1998,11 November 1998,akron,oh,fireball,90,Looking at sky before entering work building. Observed orange fireball. Object was observed while standing in parking lot. Clear sky&#44 n,41.0813889,-81.5191667
1998,11 November 1998,oxford,ms,triangle,135,Slow fliying&#44 triangular shaped object&#44 that moved from the horizon&#44 overhead&#44 until it vanished from sighton the opposite horizon,34.3663889,-89.5191667
1998,12 November 1998,colorado springs,co,disk,900,In twilight a disk shaped object &quot;about the size of a dime held at arms length was seen by a husband and wife.  They grabbed field clas,38.8338889,-104.8208333
1998,12 November 1998,pensacola,fl,fireball,240,illuminating firey red ball that slowly sunk over the bay between Pensacola and Gulf Breeze,30.4211111,-87.2169444
1998,12 November 1998,culver city,ca,light,5,While driving home I saw a light high in the sky&#44 moving from east to west in a straight line&#44 except at one point it acted like it wen,34.0211111,-118.3955556
1998,12 November 1998,new boston,nh,light,2400,Hovering light with flashing blue and red; movement was irratic and non-airplane like.  Appeared as large (moving) star.  Another small,42.9761111,-71.6944444
1998,02 December 1998,sharon (to brookfield&#44 oh),pa,changing,600,Object seen as round light initially&#44 changed colors white to yellow&#44 orange-red&#44 yellow&#44 white&#44 then split into 2 white lights with re,41.2330556,-80.4936111
1998,02 December 1998,snohomish,wa,oval,1200,I saw it when I was watching the sunrise. It moved very quickly across the sky. it moved back and forth and up and down several times e,47.9130556,-122.0969444
1998,03 December 1998,ashtabula,oh,cigar,60,First saw lights in sky (thru my high window) Object sitting still with lights 5 or 6? Down low--no sound I turned out light--it veered,41.865,-80.79
1998,03 December 1998,red river,nm,cylinder,10800,There were 2 extremely bright objects stationary in the sky&#44 side by side for over 2 hours south of Red River,36.7080556,-105.4055556
1998,03 December 1998,kennewick,wa,diamond,180,Six objects lighting one by one&#44then leaving from north to south as one.,46.2113889,-119.1361111
1998,03 December 1998,eagle county,co,fireball,1,I have seen 5 greenish/blue fireballs in the course of a 2 week period&#44 above and around the Eagle County area of Colorado.,39.6552778,-106.8280556
1998,03 December 1998,san antonio,tx,light,300,Scanned by an unusually large scanner,29.4238889,-98.4933333
1998,03 December 1998,greenland,nh,sphere,5,I saw a glowing green sphere cross the sky horizontally east to west,43.0361111,-70.8333333
1998,04 December 1998,yucaipa,ca,light,300,we saw a round bright light in the sky&#44 it had no flashing lights. it did not seem to move very fast.  after a few min we saw the brigh,34.0336111,-117.0422222
1998,04 December 1998,cleveland,oh,light,300,I was out enjoying the stars (clear night) when suddenly there was a light in the sky&#44 as if the object were a falling star or satelite,41.4994444,-81.6955556
1998,04 December 1998,castle rock,co,triangle,180,I was driving in my car when two triangle shaped crafts (lights were seen) hovering over the Castle Rock area&#44 they seemed to be landin,39.3722222,-104.8555556
1998,04 December 1998,cleveland,tn,triangle,120,The house is a small two story&#44 25 yards from the Cleveland Hardwick airport in Cleveland Tennessee. The airport beacon would shine in,35.1594444,-84.8766667
